Job,Load,Dropped,Generated,Average_delay
0,10.0,0,8749,0.0632899352023
0,10.5,0,8929,0.0655406232273
0,11.0,0,9359,0.0807304419603
0,11.5,0,9797,0.132175755969
0,12.0,0,10231,0.183620928033
0,12.5,30,10651,0.198095044411
0,13.0,121,11233,0.220077124019
0,13.5,123,11260,0.206841495144
0,14.0,445,11862,0.282280226578
0,14.5,606,12284,0.298363694626
1,10.0,0,8575,0.0585381939495
1,10.5,0,9031,0.0701667056727
1,11.0,0,9325,0.0649816290401
1,11.5,0,9619,0.127158029168
1,12.0,0,10265,0.195576442969
1,12.5,30,10637,0.172551278037
1,13.0,103,10853,0.23407731153
1,13.5,201,11356,0.241942133011
1,14.0,447,11947,0.272402237403
1,14.5,498,12309,0.297282245028
2,10.0,0,8618,0.0665599407413
2,10.5,0,9109,0.101445525964
2,11.0,0,9455,0.107636230821
2,11.5,14,9734,0.177545328192
2,12.0,5,10164,0.164838057193
2,12.5,105,10617,0.222948971523
2,13.0,94,11022,0.202040191574
2,13.5,169,11430,0.244548658078
2,14.0,366,11879,0.253127931652
2,14.5,383,12276,0.276081250994
3,10.0,0,8544,0.0540805313913
3,10.5,0,8917,0.0641581388181
3,11.0,0,9448,0.108713479953
3,11.5,0,9716,0.0864272761536
3,12.0,3,10101,0.174521736442
3,12.5,19,10662,0.143949487663
3,13.0,134,11007,0.253990588414
3,13.5,274,11451,0.2472940041
3,14.0,414,11834,0.263434342963
3,14.5,467,12216,0.276078925326
4,10.0,6,8591,0.203717811615
4,10.5,26,9240,0.183555846813
4,11.0,113,9472,0.233960541907
4,11.5,287,10010,0.278098057717
4,12.0,290,10139,0.235552767667
4,12.5,565,10672,0.30415744218
4,13.0,700,11015,0.338394563151
4,13.5,741,11343,0.331459665872
4,14.0,996,11734,0.335809007829
4,14.5,1115,12151,0.303201385375
5,10.0,0,8570,0.0674332950456
5,10.5,0,9079,0.0682111574262
5,11.0,0,9366,0.0841188832165
5,11.5,0,9840,0.155491948199
5,12.0,23,10228,0.153154010769
5,12.5,24,10520,0.231181617034
5,13.0,129,11142,0.225733668746
5,13.5,244,11460,0.250543947768
5,14.0,350,11709,0.269094452556
5,14.5,630,12363,0.305117669466
